Season,Round,Team 1,Team 1 Wins,Team 2,Team 2 Wins
1,Winners Quarters,Northern Gaming,3,Genesis,0
1,Winners Quarters,Exodus,3,Mock-It,0
1,Winners Quarters,The Flying Dutchmen,3,Kings of Urban,1
1,Winners Quarters,iBP Cosmic,3,FlipSid3 Tactics,2
1,Winners Semifinals,Northern Gaming,3,Exodus,0
1,Winners Semifinals,The Flying Dutchmen,0,iBP Cosmic,3
1,Winners Final,Northern Gaming,2,iBP Cosmic,4
1,Losers Round 1,Genesis,3,Mock-It,2
1,Losers Round 1,Kings of Urban,1,FlipSid3 Tactics,3
1,Losers Round 2,The Flying Dutchmen,3,Genesis,2
1,Losers Round 2,Exodus,0,FlipSid3 Tactics,3
1,Losers Round 3,The Flying Dutchmen,0,FlipSid3 Tactics,3
1,Losers Final,Northern Gaming,1,FlipSid3 Tactics,4
1,Grand Final,iBP Cosmic,4,FlipSid3 Tactics,2
2,Winners Quarters,NRG Esports,2,Precision Gaming,3
2,Winners Quarters,Northern Gaming,3,Genesis,0
2,Winners Quarters,FlipSid3 Tactics,3,Take 3,1
2,Winners Quarters,Orbit,2,Mock-It,3
2,Winners Semifinals,Precision Gaming,1,Northern Gaming,3
2,Winners Semifinals,FlipSid3 Tactics,1,Mock-It,3
2,Winners Final,Northern Gaming,3,Mock-It,4
2,Losers Round 1,NRG Esports,3,Genesis ,0
2,Losers Round 1,Take 3,3,Orbit,1
2,Losers Round 2,FlipSid3 Tactics,3,NRG Esports,1
2,Losers Round 2,Precision Gaming,0,Take 3,3
2,Losers Round 3,FlipSid3 Tactics,3,Take 3,0
2,Losers Final,Northern Gaming,1,FlipSid3 Tactics,4
2,Grand Final,Mock-It,1,FlipSid3 Tactics,4
2,Grand Final,Mock-It,1,FlipSid3 Tactics,4
3,Round of 10,Denial Esports,2,Alpha Sydney,3
3,Round of 10,Northern Gaming,3,JAM Gaming,0
3,Winners Quarters,Mock-It,3,Alpha Sydney,1
3,Winners Quarters,Rogue ,3,The Leftovers,1
3,Winners Quarters,NRG Esports,3,Northern Gaming,0
3,Winners Quarters,FlipSid3 Tactics,3,Selfless Gaming,2
3,Winners Semifinals,Mock-It,3,Rogue,1
3,Winners Semifinals,NRG Esports,3,FlipSid3 Tactics,2
3,Winners Final,Mock-It,4,NRG Esports,3
3,Losers Round 0,Selfless Gaming,1,Denial Esports,3
3,Losers Round 0,The Leftovers,3,JAM Gaming,1
3,Losers Round 1,Northern Gaming,3,Denial Esports,1
3,Losers Round 1,Alpha Sydney,1,The Leftovers,3
3,Losers Round 2,Rogue ,0,Northern Gaming,3
3,Losers Round 2,FlipSid3 Tactics,1,The Leftovers,3
3,Losers Round 3,Northern Gaming,3,The Leftovers,0
3,Losers Final,NRG Esports,1,Northern Gaming,4
3,Grand Final,Mock-It,2,Northern Gaming,4
3,Grand Final,Mock-It,3,Northern Gaming,4
4,Round of 10,G2 Esports,3,Chiefs Esports,2
4,Round of 10,PSG Esports,3,Pale Horse,1
4,Winners Quarters,Gale Force,3,G2 Esports,1
4,Winners Quarters,Ghost,3,Mock-It,2
4,Winners Quarters,Cloud9,2,PSG Esports,3
4,Winners Quarters,Method ,3,NRG Esports,2
4,Winners Semifinals,Gale Force,3,Ghost,0
4,Winners Semifinals,PSG Esports,2,Method,3
4,Winners Final,Gale Force,4,Method,3
4,Losers Round 0,NRG Esports,2,Chiefs Esports,3
4,Losers Round 0,Mock-It,3,Pale Horse,0
4,Losers Round 1,Cloud9,3,Chiefs Esports,1
4,Losers Round 1,G2 Esports,3,Mock-It,2
4,Losers Round 2,Ghost,2,Cloud9,3
4,Losers Round 2,PSG Esports,1,G2 Esports,3
4,Losers Round 3,Cloud9,3,G2 Esports,2
4,Losers Final,Method ,4,Cloud9,2
4,Grand Final,Gale Force,4,Method,0
5,Round of 10,Evil Geniuses,2,Chiefs Esports,3
5,Round of 10,compLexity Gaming,3,Tainted Minds,0
5,Winners Quarters,Team Dignitas,3,Chiefs Esports,1
5,Winners Quarters,NRG Esports,3,Team EnVyUs,1
5,Winners Quarters,G2 Esports,0,compLexity Gaming,3
5,Winners Quarters,Team Vitality,0,Cloud9,3
5,Winners Semifinals,Team Dignitas,1,NRG Esports,3
5,Winners Semifinals,compLexity Gaming,3,Cloud9,1
5,Winners Final,NRG Esports,4,compLexity Gaming,0
5,Losers Round 0,Team Vitality,2,Evil Geniuses,3
5,Losers Round 0,Team EnVyUs,3,Tainted Minds,2
5,Losers Round 1,G2 Esports,2,Evil Geniuses,3
5,Losers Round 1,Chiefs Esports,3,Team EnVyUs,0
5,Losers Round 2,Team Dignitas,3,Evil Geniuses,0
5,Losers Round 2,Cloud9,3,Chiefs Esports,0
5,Losers Round 3,Team Dignitas,3,Cloud9,0
5,Losers Final,compLexity Gaming,2,Team Dignitas,4
5,Grand Final,NRG Esports,1,Team Dignitas,4
5,Grand Final,NRG Esports,3,Team Dignitas,4
